,Date,BTC-KRW
0,10/08 15:57:08,"27,819,000"
1,10/08 15:58:01,"27,830,000"
2,10/08 15:59:01,"27,847,000"
3,10/08 16:00:01,"27,837,000"
4,10/08 16:01:01,"27,814,000"
5,10/08 16:02:01,"27,833,000"
6,10/08 16:03:00,"27,815,000"
7,10/08 16:04:01,"27,815,000"
8,10/08 16:05:01,"27,814,000"
9,10/08 16:06:01,"27,831,000"
10,10/08 16:07:01,"27,830,000"
11,10/08 16:08:01,"27,829,000"
12,10/08 16:09:00,"27,832,000"
13,10/08 16:10:01,"27,829,000"
14,10/08 16:11:01,"27,832,000"
15,10/08 16:11:57,"27,830,000"
16,10/08 16:12:01,"27,829,000"
17,10/08 16:13:01,"27,830,000"
18,10/08 16:14:01,"27,830,000"
19,10/08 16:15:01,"27,820,000"
20,10/08 16:16:00,"27,835,000"
21,10/08 16:17:01,"27,832,000"
22,10/08 16:18:01,"27,830,000"
23,10/08 16:19:01,"27,829,000"
24,10/08 16:20:01,"27,828,000"
25,10/08 16:21:01,"27,827,000"
26,10/08 16:22:01,"27,824,000"
27,10/08 16:23:01,"27,823,000"
28,10/08 16:24:01,"27,824,000"
29,10/08 16:25:00,"27,823,000"
